City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Havoysund,NO,70.9963,24.6622,34.03,79,29,19.51,scattered clouds
308,Riyadh,SA,24.6877,46.7219,80.74,19,37,8.41,scattered clouds
309,Hammerfest,NO,70.6634,23.6821,33.53,74,0,9.22,clear sky
310,Vila Velha,BR,-20.3297,-40.2925,82.35,65,20,13.8,few clouds
311,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,20,5.75,few clouds
312,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,87.91,65,91,3.18,overcast clouds
313,Carnarvon,AU,-24.8667,113.6333,66.27,52,90,13.8,overcast clouds
314,Half Moon Bay,US,37.4636,-122.4286,69.15,78,1,9.22,haze
315,Taiyuan,CN,37.8694,112.5603,48.06,81,100,2.24,mist
316,Del Rio,US,29.3627,-100.8968,82.51,13,1,25.32,clear sky
317,Jinka,ET,5.65,36.65,68.18,65,60,2.08,broken clouds
318,Kalmunai,LK,7.4167,81.8167,79.14,80,100,6.15,overcast clouds
319,Georgetown,MY,5.4112,100.3354,81.9,87,20,2.3,few clouds
320,Mahebourg,MU,-20.4081,57.7,72.25,78,20,5.75,few clouds
321,Lorengau,PG,-2.0226,147.2712,81.45,76,31,2.53,scattered clouds
322,Chernyshevskiy,RU,63.0128,112.4714,22.69,77,92,18.1,overcast clouds
323,Riberalta,BO,-10.9833,-66.1,92.71,41,83,4.14,broken clouds
324,Tremedal,BR,-14.9758,-41.4108,83.26,48,41,12.17,scattered clouds
325,Zonguldak,TR,41.25,31.8333,43.12,83,1,2.42,clear sky
326,Damietta,EG,31.4165,31.8133,74.39,66,16,12.46,few clouds
327,Kamenka,RU,51.3223,42.7678,38.52,41,7,11.68,clear sky
328,Carutapera,BR,-1.195,-46.02,86.67,59,50,11.12,scattered clouds
329,Monrovia,LR,6.3005,-10.7969,83.97,79,43,7.29,scattered clouds
330,Salani,IN,29.957,79.7127,52.05,53,0,5.64,clear sky
331,Arrifes,PT,37.7667,-25.7,66.45,94,75,13.8,broken clouds
332,Ust-Maya,RU,60.4167,134.5333,26.98,97,99,4.61,light snow
333,Srandakan,ID,-7.9386,110.2506,77.02,88,100,5.01,heavy intensity rain
334,Terme,TR,41.2092,36.9739,56.97,81,2,1.68,clear sky
335,Zagyvaszanto,HU,47.777,19.6709,39.34,57,34,1.03,scattered clouds
336,Yining,CN,29.0361,114.5636,61.48,77,87,0.22,light rain
337,Maneadero,MX,31.7167,-116.5667,67.1,68,0,1.99,clear sky
338,Mokobeng,BW,-22.9965,27.6678,74.28,51,64,14.27,broken clouds
339,Kundla,IN,21.3333,71.3,78.8,40,37,1.61,scattered clouds
340,Oga,IT,46.4631,10.347,38.7,70,1,2.73,clear sky
341,Marawi,PH,7.9986,124.2928,64.65,94,100,3.36,overcast clouds
342,Haverfordwest,GB,51.8017,-4.9691,61.16,86,99,10.0,overcast clouds
343,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,14.97,few clouds
344,Terrace Bay,CA,48.7834,-87.1,46.45,69,90,8.37,overcast clouds
